"Name","RefCount"
"leave-report.employee-leave-quota","1"
"leaves.date","1"
"leaves.store","1"
"leaves.update","1"
"leaves-settings.changePermission","1"
"leaves-settings.store","1"
"leaveType.destroy","1"
"leaveType.edit","1"
"leaveType.store","1"
"leaveType.update","1"
"mark_notification_read","1"
"mark_single_notification_read","1"
"message_file.download","1"
"message-file.destroy","1"
"messages.check_new_message","1"
"messages.destroy","1"
"messages.fetch_messages","1"
"messages.fetch_user_list","1"
"messages.show","1"
"message-settings.index","1"
"message-settings.update","1"
"milestones.create","1"
"milestones.destroy","1"
"milestones.edit","1"
"milestones.store","1"
"milestones.update","1"
"module-settings.update","1"
"mollie.webhook","1"
"notices.apply_quick_action","1"
"notices.create","1"
"notices.store","1"
"notices.update","1"
"offline-payment-setting.create","1"
"offline-payment-setting.destroy","1"
"offline-payment-setting.edit","1"
"offline-payment-setting.index","1"
"offline-payment-setting.store","1"
"offline-payment-setting.update","1"
"orders.make_invoice","1"
"orders.offline_payment_modal","1"
"orders.save_stripe_detail","1"
"orders.stripe_modal","1"
"orders.update","1"
"passport.create","1"
"passport.destroy","1"
"passport.edit","1"
"passport.store","1"
"passport.update","1"
"password.reset","1"
"payfast.webhook","1"
"payment-gateway-settings.update","1"
"payments.download","1"
"payments.save_bulk_payments","1"
"payments.store","1"
"paypal.webhook","1"
"paypal_public","1"
"paystack.webhook","1"
"productCategory.destroy","1"
"productCategory.store","1"
"productCategory.update","1"
"product-files.destroy","1"
"product-files.store","1"
"product-files.update_images","1"
"products.apply_quick_action","1"
"products.cart","1"
"products.empty_cart","1"
"products.options","1"
"products.update","1"
"productSubCategory.destroy","1"
"productSubCategory.store","1"
"profile.dark_theme","1"
"profile.update_onesignal_id","1"
"project_notes.apply_quick_action","1"
"project_notes.ask_for_password","1"
"project_template.apply_quick_action","1"
"project_template_members.store_group","1"
"projectCategory.edit","1"
"projectCategory.store","1"
"project-members.create","1"
"project-members.destroy","1"
"project-members.store","1"
"project-members.store_group","1"
"project-members.update","1"
"project-notes.create","1"
"project-notes.destroy","1"
"project-notes.edit","1"
"project-notes.store","1"
"project-notes.update","1"
"project-ratings.destroy","1"
"project-ratings.store","1"
"project-ratings.update","1"
"projects.burndown","1"
"projects.destroy_pin","1"
"projects.duplicate_project","1"
"projects.gantt_data","1"
"projects.import.process","1"
"projects.import.store","1"
"projects.store_pin","1"
"projects.update","1"
"projects.update_status","1"
"project-settings.changeStatus","1"
"project-settings.create","1"
"project-settings.createCategory","1"
"project-settings.destroy","1"
"project-settings.edit","1"
"project-settings.saveProjectCategory","1"
"project-settings.setDefault","1"
"project-settings.statusUpdate","1"
"project-settings.store","1"
"project-settings.update","1"
"project-template.create","1"
"project-template.destroy","1"
"project-template.store","1"
"project-template.update","1"
"project-template-member.create","1"
"project-template-member.destroy","1"
"project-template-member.store","1"
"project-template-sub-task.destroy","1"
"project-template-sub-task.edit","1"
"project-template-sub-task.store","1"
"project-template-task.create","1"
"project-template-task.destroy","1"
"project-template-task.store","1"
"project-template-task.update","1"
"proposal_template.delete_image","1"
"proposals.add_item","1"
"proposals.delete_image","1"
"proposals.store","1"
"proposals.update","1"
"proposal-template.add_item","1"
"proposal-template.create","1"
"proposal-template.destroy","1"
"proposal-template.download","1"
"proposal-template.edit","1"
"proposal-template.store","1"
"proposal-template.update","1"
"push_notification_settings.send_test_notification","1"
"pusher-settings.update","1"
"push-notification-settings.update","1"
"quickbooks-settings.update","1"
"razorpay.webhook","1"
